(72, 56, 43)
(100, 103, 104)
(29, 27, 24)
(72, 69, 64)
(43, 29, 17)
(71, 101, 119)
(30, 36, 38)
(16, 28, 34)
(46, 63, 71)
(57, 36, 21)
(67, 88, 99)
(97, 86, 74)
(90, 119, 135)
(10, 14, 13)
(52, 56, 56)
(26, 21, 14)
(90, 144, 172)
(92, 70, 53)
(27, 49, 61)
(53, 113, 147)
(46, 96, 123)
(36, 46, 50)
(64, 44, 29)
(128, 104, 82)
(152, 133, 114)
(51, 45, 38)
(97, 62, 38)
(61, 125, 158)
(23, 54, 71)
(45, 36, 27)
(17, 38, 51)
(59, 76, 85)
(80, 50, 30)
(14, 20, 22)
(29, 69, 90)
(41, 87, 112)
(51, 105, 135)
(33, 77, 103)
(28, 62, 81)
(118, 81, 54)
